QuestionID,Section,Topic,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty,FreeTier
Q0203,Type II,Evacuation Levels,"Using recovery equipment made after November 15, 1993, to what level must you evacuate an R-22 appliance holding LESS than 200 pounds before opening it?",0 inches Hg (atmospheric pressure),10 inches Hg vacuum,15 inches Hg vacuum,25 mm Hg absolute,A,Small R-22 systems (under 200 pounds) only need to be brought down to atmospheric pressure — 0 inches Hg gauge. Go to 200 pounds or more of R-22 and the requirement deepens to 10 inches Hg vacuum. The 25 mm figure belongs to low-pressure (Type III) equipment.,Medium,TRUE
Q0204,Type II,Evacuation Levels,"An R-22 system contains 300 pounds of refrigerant. Using current recovery equipment, what evacuation level is required before disposal or opening?",0 inches Hg,4 inches Hg vacuum,10 inches Hg vacuum,15 inches Hg vacuum,C,R-22 appliances with 200 pounds or more must be pulled to 10 inches Hg vacuum. The 15-inch requirement is for OTHER high-pressure refrigerants (like R-410A) at 200 pounds or more — R-22 gets a slightly easier target because it's harder to condense.,Medium,FALSE
Q0205,Type II,Evacuation Levels,"For high-pressure refrigerants OTHER than R-22 (such as R-410A), what are the required evacuation levels with current equipment?",0 inches Hg regardless of charge size,10 inches Hg under 200 lbs; 15 inches Hg at 200 lbs or more,15 inches Hg under 200 lbs; 25 inches Hg at 200 lbs or more,4 inches Hg regardless of charge size,B,"Non-R-22 high-pressure systems: 10 inches Hg vacuum below 200 pounds, 15 inches Hg at 200 pounds and above. Compare with R-22's easier levels (0 and 10 inches). The 4-inch level belongs to small appliances — different rule set entirely.",Hard,FALSE
Q0206,Type II,Evacuation Levels,"To what level must a VERY-high-pressure appliance (R-13, R-503) be evacuated?","0 inches Hg (atmospheric), regardless of charge size",10 inches Hg vacuum,15 inches Hg vacuum,25 mm Hg absolute,A,"Very-high-pressure refrigerants only require evacuation to atmospheric pressure (0 inches Hg). Their extreme pressures make deep vacuum recovery impractical, so the rule stops at zero gauge. This is the easy-to-forget corner of the evacuation table.",Hard,FALSE
Q0207,Type II,Evacuation Levels,You're recovering from a system with a known bad leak. Pulling the required vacuum would drag air and moisture in through the leak. What should you do?,Pull the full vacuum anyway — rules are rules,Evacuate the system to 0 psig (atmospheric pressure) instead,Skip recovery entirely since the system leaks,Pressurize the system with oxygen to find the leak first,B,"When leaks make the standard vacuum level impossible without contaminating the system, the EPA allows evacuating to atmospheric pressure (0 psig) instead. Skipping recovery is venting — illegal. And oxygen near refrigerant oil is an explosion hazard, never a leak-finding tool.",Medium,TRUE
Q0208,Type II,Recovery Techniques,What is the fastest way to remove the bulk of the charge from a large high-pressure system?,"Recover vapor only, slowly","Recover liquid refrigerant first, then finish with vapor",Heat the whole system with torches,Open the system and let it equalize,B,"Liquid recovery moves pounds of refrigerant many times faster than vapor recovery — a pound of liquid occupies a tiny fraction of the space of a pound of vapor. Start at a liquid port (liquid line or king valve), then switch to vapor to finish the job.",Easy,TRUE
Q0209,Type II,Recovery Techniques,From which point on the system should liquid refrigerant be removed during recovery?,The compressor discharge line,The suction line at the evaporator,The liquid line or the king valve on the receiver outlet,The condenser fan housing,C,"Liquid lives between the condenser/receiver and the metering device, so the liquid line — or the king valve on the receiver — is where you tap it. The suction line carries vapor; drawing 'liquid' there means the system is flooding, which is a malfunction, not a technique.",Medium,FALSE
Q0210,Type II,Recovery Techniques,Recovery into your cylinder has slowed to a crawl because the cylinder has warmed up and its pressure has risen. What speeds the transfer back up?,Cooling the recovery cylinder (ice bath or refrigeration),Heating the recovery cylinder,Venting a little from the cylinder to drop its pressure,Shaking the cylinder,A,"Refrigerant flows from higher pressure to lower pressure. Cooling the cylinder condenses vapor inside it and drops its pressure, restoring flow. Heating does the opposite, and venting to relieve pressure is illegal. This is the practical physics the exam loves.",Medium,FALSE
Q0211,Type II,Recovery Techniques,"After evacuating a system to the required level, you watch the gauge and the pressure climbs again. What does this indicate?",Refrigerant is boiling out of the compressor oil (or the system is leaking) — recovery isn't finished,The system is now overcharged,Normal behavior — vacuum always decays instantly,The recovery cylinder is empty,A,"A rising pressure after evacuation means refrigerant dissolved in the oil is still boiling off — or air is sneaking in through a leak. Either way, resume recovery and confirm the system HOLDS the required vacuum before opening it. A solid vacuum that holds is the actual finish line.",Medium,TRUE
Q0212,Type II,Leak Repair,"For appliances with 50 or more pounds of ozone-depleting refrigerant, what annual leak rates trigger mandatory repair?","10% comfort cooling, 20% commercial refrigeration, 30% industrial process refrigeration",35% for all equipment types,5% for all equipment types,"50% comfort cooling, 60% commercial refrigeration",A,"The current trigger rates: 10% for comfort cooling, 20% for commercial refrigeration, 30% for industrial process refrigeration — calculated as a percentage of the full charge leaked per year. The old 35%/15% numbers were tightened in 2019, so beware of outdated study materials.",Medium,TRUE
Q0213,Type II,Leak Repair,"Once a leak above the threshold rate is discovered in a 50+ pound ODS appliance, the owner generally must have it repaired within how many days?",24 hours,30 days,90 days,One year,B,30 days to repair is the general rule (extensions exist for industrial shutdown constraints). The one-year figure is the deadline for COMPLETING a retrofit or retirement plan if the owner goes that route instead of repairing — a classic answer-swap trap.,Medium,FALSE
Q0214,Type II,Leak Repair,"Instead of repairing a chronically leaking appliance, the owner may develop a retrofit or retirement plan. What are the deadlines?","Plan within 7 days, complete within 60 days","Plan within 30 days, complete within 1 year","Plan within 90 days, complete within 5 years",No deadlines apply to retrofit plans,B,"The plan must be developed (and kept at the site) within 30 days, and the retrofit or retirement must be finished within one year. It's an alternative to repair, not an escape hatch — the clock runs either way.",Hard,FALSE
Q0215,Type II,Leak Repair,"After repairing a leak on a 50+ pound appliance, what testing is required to confirm the fix?",No testing — a repair invoice is enough,"An initial verification test before adding refrigerant, and a follow-up verification test once the system is running",Only a visual inspection after 30 days,A complete refrigerant chemical analysis,B,"Two tests: an initial verification test (like a pressure or vacuum test) before the full charge goes back in, then a follow-up verification test with the system operating at normal conditions. The pair proves the leak is actually fixed, not just painted over.",Hard,FALSE
Q0216,Type II,Leak Repair,How is an appliance's leak rate expressed under EPA rules?,Ounces lost per month,The percentage of the full charge lost per 12-month period (annualized),Pounds lost per service visit,Parts per million in the equipment room air,B,"Leak rate = percentage of the appliance's full charge lost over a rolling 12-month period. If a 100-pound system needed 20 pounds added over the past year, that's a 20% annual leak rate — at the trigger point for commercial refrigeration.",Medium,FALSE
Q0217,Type II,Leak Detection,What is the standard two-step approach for finding a refrigerant leak on a high-pressure system?,"Listen carefully, then feel for cold spots","Use an electronic or ultrasonic detector to find the general area, then pinpoint with soap bubbles",Add more refrigerant and wait,Pressurize with oxygen and watch for frost,B,Electronic and ultrasonic detectors sniff out the neighborhood of the leak; a soap-bubble solution then pinpoints the exact spot. Adding refrigerant to a leaking system without repair wastes product and can violate leak-repair rules. Oxygen is never used — explosion risk with oil.,Easy,TRUE
Q0218,Type II,Pressure Testing,"When pressure-testing a system with dry nitrogen, what pressure must you never exceed?",The nameplate's low-side test pressure,"1,000 psig on any system",Whatever the nitrogen cylinder can deliver,Double the high-side design pressure,A,"The equipment nameplate lists design test pressures — never exceed the LOW-side test pressure, because the low side is the weakest link and the whole system sees your nitrogen. A nitrogen cylinder holds 2,000+ psig, which is why the regulator and relief valve aren't optional.",Medium,TRUE
Q0219,Type II,System Performance,Air (a non-condensable gas) has gotten into a high-pressure system. Where does it collect and what symptom does it cause?,"In the evaporator, causing low suction pressure","In the condenser, causing higher-than-normal head pressure","In the oil, causing foaming only",It dissolves harmlessly into the refrigerant,B,"Air can't condense at system temperatures, so it stacks up in the condenser, taking up condensing surface and driving head pressure above what the refrigerant's pressure-temperature relationship predicts. High head pressure means wasted energy and stressed equipment — the fix is recovery, evacuation, and recharge.",Medium,FALSE
Q0220,Type II,Reclaim & Resale,You recovered 40 pounds of R-410A from a customer's decommissioned rooftop unit. A different customer wants to buy it. What must happen first?,Nothing — a sale between customers is private,Filter it through one filter-drier,It must be reclaimed to AHRI 700 purity by a certified reclaimer before changing ownership,It must be mixed with virgin refrigerant 50/50,C,Change of ownership triggers the reclamation requirement: processing to AHRI 700 purity with chemical analysis to prove it. A single filter pass is recycling — good enough only for reuse in the SAME owner's equipment. Selling un-reclaimed used refrigerant risks the buyer's equipment and your certification.,Medium,FALSE
Q0221,Type II,Equipment,"Recovery machines built after November 15, 1993 for high-pressure work must meet which requirements?",Painted safety orange and weigh under 50 lbs,Certified by an EPA-approved testing lab and equipped with low-loss fittings,Capable of recovering 100% of any charge,Built with a sight glass on every port,B,The two legal must-haves: certification by an EPA-approved testing organization (per AHRI 740) and low-loss fittings that minimize release on disconnect. No machine recovers 100% — some refrigerant always remains dissolved in oil — and the rules say nothing about paint color.,Medium,FALSE
Q0222,Type II,Recovery Techniques,What is the 'push-pull' recovery method used for?,Removing air from a running system,"Transferring large volumes of LIQUID refrigerant by pulling vapor from the recovery cylinder and pushing it into the appliance, forcing liquid out into the cylinder",Recovering vapor twice as fast with two machines,Testing compressor valves,B,"In push-pull, the recovery machine pulls vapor off the top of the recovery cylinder and discharges it into the appliance, and that pressure pushes liquid refrigerant out of the appliance into the cylinder. It shines on systems holding large liquid volumes. It moves liquid — it does nothing about air.",Hard,FALSE
Q0223,Type II,Safety,Why must you avoid skin contact with the oil from a hermetic compressor that suffered an electrical burnout?,The oil is radioactive,Burnout oil contains acids formed when the motor burned — it can burn skin,The oil is always boiling hot days later,Oil stains are hard to wash out,B,A motor burnout cooks the refrigerant and oil into acidic sludge. That acid attacks skin just like it attacks motor windings — wear gloves and eye protection when draining or handling it. Temperature isn't the issue after the fact; chemistry is.,Medium,TRUE
Q0224,Type II,Service Practices,"After replacing a compressor that failed from a severe burnout, what should be installed to protect the new compressor?",A larger condenser fan,A suction-line filter-drier (and a new liquid-line drier) to catch acid and debris,A second thermostat,Nothing — the new compressor cleans the system itself,B,"Burnout leaves acid and carbon throughout the system. A suction-line filter-drier catches contaminants before they enter the new compressor, and the liquid-line drier gets replaced as a matter of course. Check and replace the suction drier as pressure drop develops. New compressors don't clean systems; they become victims of dirty ones.",Medium,FALSE
Q0225,Type II,Dehydration & Evacuation,"After repairs, you evacuate a system for dehydration. What reading indicates the system is properly dehydrated?",The compound gauge reads 25 psig,A micron gauge holds a deep vacuum (around 500 microns) with the pump isolated,The sight glass shows bubbles,The nitrogen holds for one hour,B,"Dehydration is verified with a micron gauge: pull down to roughly 500 microns, isolate the pump, and confirm the vacuum holds. If it creeps up, there's still moisture boiling off or a leak. A compound gauge is far too coarse to prove dryness, and nitrogen tests find leaks, not moisture.",Medium,FALSE
Q0226,Type II,Charging,How should a zeotropic blend like R-407C be charged into a system?,As vapor from the top of the cylinder,"As liquid (from the cylinder's liquid port), throttled into the system to avoid slugging",Either way — it makes no difference,Only through the discharge line,B,Zeotropic blends must leave the cylinder as liquid so the mixture stays in its designed proportions — vapor charging fractionates the blend. Throttle the liquid carefully into the suction side (or charge into the liquid line with the system off) so liquid never slugs the compressor.,Medium,FALSE
Q0227,Type II,Definitions,Which of these does Type II certification cover?,Household refrigerators,Motor vehicle air conditioning,"Split-system air conditioners, heat pumps, and supermarket rack systems using high-pressure refrigerant",Centrifugal chillers using R-123,C,"Type II covers high-pressure and very-high-pressure appliances that aren't small appliances or motor vehicle A/C — splits, packaged rooftop units, heat pumps, market racks. Household refrigerators are Type I, R-123 chillers are Type III, and car A/C falls under Section 609, a separate certification.",Medium,TRUE
Q0228,Type II,Records,Owners of appliances holding 50 or more pounds of refrigerant must keep what records?,No records are required,"Records of refrigerant purchased and added during service, and leak inspections/servicing history",Only the original purchase receipt,Daily temperature logs,B,"Servicing records — especially the amount of refrigerant added, which is how leak rates get calculated — plus leak inspection records must be maintained. If refrigerant additions aren't documented, there's no way to prove the appliance is under its leak-rate threshold.",Medium,FALSE
Q0229,Type II,Safety,Why should you never energize a system's compressor while the system is under a deep vacuum?,It wastes electricity,The motor windings can arc and be destroyed — a vacuum is a poor electrical insulator,The compressor will run backwards,The vacuum gauge will break,B,"In a deep vacuum there are too few gas molecules to resist electrical discharge, so energized motor windings can arc across the gap and burn out instantly. Complete your evacuation, break the vacuum with refrigerant charge, and only then run the compressor.",Easy,TRUE
Q0230,Type II,Cylinders,What must you check about a recovery cylinder before recovering R-410A into it?,That it is painted white,"That it is rated for R-410A's higher pressure and dedicated to the correct refrigerant, with a current test date",That it is completely full already,"That it once held R-22, which is close enough",B,"R-410A runs roughly 50–60% higher pressure than R-22, so the cylinder must carry a pressure rating suitable for it (DOT-rated for the service), be within its hydrostatic test date, and be dedicated to R-410A to prevent mixing. Putting R-410A into a cylinder holding R-22 residue creates an unreclaimable mixture.",Medium,FALSE
Q0301,Type III,Definitions,A LOW-PRESSURE appliance uses a refrigerant whose boiling point at atmospheric pressure is:,Below -50°C (-58°F),Between -50°C and 10°C,Above 10°C (50°F),Exactly at room temperature,C,"Low-pressure refrigerants — R-11, R-123, R-113 — boil ABOVE 10°C (50°F) at atmospheric pressure. That's why these machines run below atmospheric pressure in normal operation. Boiling between -50°C and 10°C defines high-pressure (Type II) refrigerants.",Easy,TRUE
Q0302,Type III,Definitions,"At normal operating conditions, the evaporator of a low-pressure centrifugal chiller runs at what pressure?",Well above atmospheric pressure,Below atmospheric pressure — in a vacuum,Exactly atmospheric pressure,Over 400 psig,B,"Low-pressure chillers operate in a vacuum. An R-123 machine's evaporator typically runs around 10 inches Hg vacuum or deeper. This single fact drives most of the Type III rules: leaks pull air IN, purge units exist, and test pressures are tiny.",Easy,TRUE
Q0303,Type III,Leaks & Air,"Because a low-pressure chiller operates in a vacuum, what does a leak do?",Sprays liquid refrigerant out rapidly,Lets air and moisture leak INTO the machine,Nothing — vacuum systems can't leak,Releases refrigerant vapor at high velocity,B,"With the inside pressure below atmospheric, a leak flows backwards compared to a high-pressure system: air and moisture get sucked in. That contaminates the refrigerant, raises head pressure, and forms acids — which is exactly why these machines carry purge units.",Medium,TRUE
Q0304,Type III,Purge Units,What is the job of the purge unit on a low-pressure chiller?,To add refrigerant automatically,To remove air and other non-condensable gases that accumulate in the machine,To filter the chilled water,To lubricate the compressor bearings,B,"The purge unit collects and expels the air (non-condensables) that leaks into a machine running in a vacuum, while returning as much refrigerant as possible. Without it, accumulated air would drive condensing pressure up and efficiency down.",Easy,TRUE
Q0305,Type III,Purge Units,"Where do non-condensable gases (air) collect in a low-pressure chiller, and where does the purge unit draw from?",The bottom of the evaporator,The oil sump,The top of the condenser,The chilled water loop,C,"Air rises with the refrigerant vapor but can't condense, so it accumulates at the top of the condenser — and that's exactly where the purge unit taps in. Knowing WHERE air collects is the memorable half of this exam question.",Medium,FALSE
Q0306,Type III,Purge Units,A chiller's purge unit has started running far more often than usual. What does this indicate?,The machine has developed a leak letting air in — find and repair it,The refrigerant is wearing out,Normal seasonal behavior,The chilled water is too cold,A,"Excessive purge operation means excessive air, and air gets in through leaks. The purge unit is treating the symptom; the machine needs a leak check and repair. Refrigerant doesn't 'wear out,' and season alone doesn't put air inside a sealed machine.",Medium,FALSE
Q0307,Type III,Safety & Relief,The rupture disc on a low-pressure chiller is designed to relieve at what pressure?,10 psig,15 psig,150 psig,450 psig,B,15 psig is the rupture disc setting on low-pressure machines. These vessels are not built for high pressure — they live in a vacuum — so the relief point is startlingly low compared to Type II equipment. It pairs with the 10 psig leak-test limit: test below the disc's setting.,Medium,TRUE
Q0308,Type III,Leak Testing,What is the MAXIMUM pressure allowed when leak-testing a low-pressure chiller?,10 psig,15 psig,30 psig,125 psig,A,"Never exceed 10 psig. The rupture disc lets go at 15 psig, so 10 psig keeps a safety margin — blow the disc and you dump the machine's charge and buy a repair. High-pressure habits (100+ psig nitrogen tests) will destroy a low-pressure machine.",Medium,TRUE
Q0309,Type III,Leak Testing,What is the recommended way to raise a low-pressure chiller's pressure to 10 psig for leak testing?,Connect a high-pressure nitrogen cylinder directly,Circulate controlled hot water through the tubes or use heater blankets to warm the refrigerant,Run the compressor at full speed,Add extra refrigerant until pressure rises,B,Warming the refrigerant with controlled hot water (or heater blankets) raises its saturation pressure gently and evenly — you can't accidentally overshoot far past 10 psig the way an unregulated nitrogen cylinder can. The margin between 10 psig and the 15 psig rupture disc is small; controlled heat respects it.,Hard,FALSE
Q0310,Type III,Evacuation Levels,"Using recovery equipment made after November 15, 1993, a low-pressure appliance must be evacuated to what level?",0 inches Hg,4 inches Hg vacuum,10 inches Hg vacuum,25 mm Hg absolute,D,"25 mm Hg ABSOLUTE — very close to a full vacuum — is the low-pressure requirement with current equipment. It's the deepest evacuation level in the 608 rules because the refrigerant is cheap to lose track of in a vacuum machine. Note the unit: millimeters absolute, not inches of vacuum.",Hard,FALSE
Q0311,Type III,Evacuation Levels,25 mm Hg absolute is approximately equal to what reading on a standard compound gauge?,About 29 inches Hg vacuum,About 25 inches Hg vacuum,About 10 inches Hg vacuum,0 — atmospheric pressure,A,"Atmospheric pressure is about 760 mm Hg absolute. 25 mm absolute means you've removed 735 mm of it — roughly 29 inches Hg of vacuum on a gauge that reads 29.9 at perfect vacuum. The '25 inches' answer is the trap: same number, wrong unit, much shallower vacuum.",Hard,FALSE
Q0312,Type III,Recovery Techniques,In what order is refrigerant removed from a low-pressure chiller?,"Vapor first, then liquid","Liquid first, then remove the remaining vapor","Oil first, then liquid, then vapor",All phases at once through one hose,B,"Pump out the liquid first — it holds most of the pounds — then run the recovery unit's compressor to pull out the remaining vapor, which is the slow part of the job on a big machine. Oil is drained separately and heated to reclaim the refrigerant dissolved in it.",Medium,TRUE
Q0313,Type III,Recovery Techniques,"During refrigerant recovery (or evacuation) on a chiller, why must water keep circulating through the evaporator and condenser tubes?",To keep the pumps from rusting,Because evaporating refrigerant chills the tubes — standing water inside them could freeze and rupture the tubes,To keep the building cool during service,It is not necessary,B,"As refrigerant boils off during recovery it absorbs heat from everything around it, including the water tubes. If that water sits still, it can freeze, expand, and split the tubes — a catastrophic repair on a chiller. Moving water can't freeze in place, so circulation stays on.",Medium,TRUE
Q0314,Type III,Recovery Techniques,A significant amount of refrigerant remains dissolved in a chiller's oil after liquid removal. How is it recovered?,It can't be — that refrigerant is lost,Heat the oil (to roughly 130°F) so the refrigerant boils out and can be recovered as vapor,Stir the oil vigorously,Freeze the oil to separate them,B,Warm oil releases its dissolved refrigerant. Heating the oil to around 130°F drives the refrigerant out as vapor for the recovery unit to capture. Cooling does the opposite — cold oil is a refrigerant sponge. This is also why recovered pressure creeps back up after you stop.,Hard,FALSE
Q0315,Type III,Charging,"When recharging a low-pressure chiller, why do you charge VAPOR first before introducing liquid?",Vapor is cheaper than liquid,Introducing liquid into the deep vacuum would chill the machine so fast the water in the tubes could freeze — vapor first raises the saturation temperature above freezing (about 36°F),Liquid refrigerant cannot flow into a vacuum,It makes the gauges easier to read,B,"Liquid flashing into a deep vacuum refrigerates violently — cold enough to freeze the water in the tubes and split them. Charging vapor first brings the machine's pressure up until the saturation temperature is safely above freezing (around 36°F), and only then does liquid go in.",Medium,FALSE
Q0316,Type III,Safety,R-123 has a very low allowable exposure limit. What does ASHRAE Standard 15 require for equipment rooms housing R-123 chillers?,A window that opens,"A refrigerant vapor monitor/sensor with an alarm, plus ventilation — and SCBA available for major leaks",Monthly air freshener treatments,Nothing beyond a fire extinguisher,B,"ASHRAE 15 calls for refrigerant monitors that alarm before exposure limits are reached, mechanical ventilation, and self-contained breathing apparatus (SCBA) for responding to major leaks. R-123's low exposure limit means you can be in danger at concentrations you can't smell.",Medium,FALSE
Q0317,Type III,Safety,Why are room refrigerant sensors and oxygen-deprivation alarms so critical around low-pressure chillers?,Because chiller rooms are usually enclosed spaces where leaked refrigerant can displace oxygen or exceed exposure limits before anyone notices,Because the sensors are required to run the chiller's compressor,Because R-123 is highly explosive,They are only installed for insurance discounts,A,"Machine rooms are enclosed, often below grade, and refrigerant vapor is heavier than air — a leak can quietly make the air unbreathable or push R-123 past its exposure limit. Alarms buy escape time. R-123 isn't explosive; the danger is what you're breathing.",Medium,FALSE
Q0318,Type III,Refrigerants,R-123 was introduced as the interim replacement for which refrigerant in low-pressure chillers?,R-22,R-12,CFC-11 (R-11),R-502,C,"R-123, an HCFC, replaced CFC R-11 in centrifugal chillers when CFC production ended. Same low-pressure machine class, far lower ozone depletion potential. R-12's replacement was R-134a — a different machine class entirely.",Easy,TRUE
Q0319,Type III,Refrigerants,New production of R-11 ended with the CFC phase-out in 1996. Where does R-11 for servicing existing chillers come from today?,New factories overseas ship it legally into the US,Existing stockpiles and reclaimed refrigerant only,It is synthesized on-site from R-134a,Servicing R-11 machines is illegal,B,"Since production and import ended, every pound of R-11 in circulation is old stock or reclaimed product — which is why recovering it carefully matters economically as well as legally. Owning and servicing existing R-11 machines remains perfectly legal.",Medium,FALSE
Q0320,Type III,Recovery Techniques,"During vapor recovery from a low-pressure chiller, what does the recovery unit's water-cooled condenser do?",Cools the chiller's oil sump,Condenses the recovered refrigerant vapor back into liquid so it can be stored in the receiving drum,Chills the building's water loop,Removes acid from the refrigerant,B,"The recovery compressor pulls vapor from the machine and discharges it into a water-cooled condenser, where it turns back into liquid and drains to the storage drum. Vapor takes up enormous space; condensing it is the only practical way to store the charge.",Medium,FALSE
Q0321,Type III,Recovery Techniques,"After evacuating a chiller to 25 mm Hg absolute, you isolate it and the pressure slowly rises. What are the two possible causes you must distinguish between?",Gauge error or sunspots,"Refrigerant still boiling out of the oil, or air leaking into the machine",Water freezing or oil foaming,Nothing causes pressure rise in a vacuum,B,A rebound after evacuation is either leftover refrigerant off-gassing from the oil (recover more) or an air leak (find and fix it before opening the machine). Watching how far and how fast the pressure climbs — and whether it levels off at the refrigerant's saturation pressure — tells you which one you have.,Hard,FALSE
Q0322,Type III,Service Practices,"Before opening a low-pressure chiller for repairs after recovery, what should you do about the deep vacuum inside it?",Open it under vacuum — the air rushing in does no harm,"Break the vacuum with dry nitrogen up to atmospheric pressure, then open it",Break the vacuum with compressed shop air,Fill it with water first,B,"Bring the machine to atmospheric pressure with dry nitrogen before opening — controlled, moisture-free, and it prevents a rush of humid room air from soaking the machine's internals. Shop air carries water vapor and oil mist, which is exactly what you're trying to keep out.",Medium,FALSE
Q0323,Type III,Leak Repair,A building's R-123 chiller holds 800 pounds of refrigerant and serves comfort cooling. What annual leak rate triggers mandatory repair?,10%,20%,30%,35%,A,"Chillers serving building air conditioning are comfort-cooling appliances, and comfort cooling has the strictest trigger: 10% of the full charge per year. The 20% and 30% rates belong to commercial and industrial process refrigeration. At 800 pounds, this machine is squarely inside the 50-pound rule.",Medium,FALSE
Q0324,Type III,Purge Units,Why are HIGH-EFFICIENCY purge units important on low-pressure chillers?,They run quieter than standard purges,"They release far less refrigerant per pound of air removed, cutting both emissions and refrigerant cost",They eliminate the need for leak repairs,They double the chiller's cooling capacity,B,"Every purge cycle expels some refrigerant along with the air. High-efficiency purge units recover nearly all of that refrigerant, losing only a small fraction per pound of air purged — better for the ozone layer, the law, and the owner's wallet. They don't fix leaks; they just manage the air the leaks let in.",Medium,FALSE
Q0325,Type III,Definitions,Which machine is the classic example of a Type III (low-pressure) appliance?,A rooftop packaged unit,A centrifugal chiller using R-11 or R-123,A household chest freezer,An automotive A/C system,B,"Big centrifugal chillers running R-11 or R-123 are THE low-pressure machines — building-cooling workhorses holding hundreds of pounds of refrigerant in a vacuum. Rooftop units are Type II, chest freezers are Type I small appliances, and car A/C is Section 609.",Medium,TRUE
Q0326,Type III,Pressure-Temperature,"An idle R-123 chiller sits in a 68°F equipment room. If you crack open a valve on it, what happens?",Refrigerant vapor sprays out under pressure,"Air flows INTO the machine, because R-123's pressure at 68°F is below atmospheric",Liquid refrigerant pours out,Nothing — the valve is frozen,B,"R-123 boils at about 82°F at atmospheric pressure, so at 68°F its saturation pressure is a partial vacuum — lower than the room's pressure. Open a valve and the room pushes air in; the machine doesn't push refrigerant out. This backwards-from-intuition behavior is the heart of Type III.",Hard,FALSE
Q0327,Type III,Cylinders,The 80% maximum fill rule for recovery cylinders applies to low-pressure refrigerants like R-123:,No — low-pressure refrigerants can fill to 100%,Yes — never fill any recovery cylinder beyond 80% of its capacity,Only in summer months,"Only for cylinders over 1,000 pounds",B,"The 80% rule is universal: liquid needs room to expand as temperature rises, no matter how low the refrigerant's pressure is at room temperature. A hydrostatically full cylinder of any refrigerant becomes a bomb in a hot truck.",Easy,FALSE
Q0328,Type III,Evacuation Levels,"Recovery equipment manufactured BEFORE November 15, 1993 must evacuate a low-pressure appliance to what level?",25 inches Hg vacuum,25 mm Hg absolute,0 inches Hg,4 inches Hg vacuum,A,"Older (pre-November 1993) equipment gets the shallower target: 25 INCHES Hg vacuum. Current equipment must reach 25 MM Hg absolute — nearly a full vacuum. Same digits, different units, very different depths: that pairing is a deliberate exam trap.",Hard,FALSE
Q0329,Type III,Safety,A major refrigerant leak occurs in a chiller equipment room. What is the correct first response?,Grab a flashlight and go find the leak alone,"Evacuate the room, ventilate it, and re-enter only with SCBA (never alone)",Seal the room doors to contain the vapor,Turn off the lights to prevent ignition,B,"Get out, get air moving, and go back in only with self-contained breathing apparatus and a partner. Refrigerant displaces oxygen and R-123 exceeds its exposure limit quickly — sealing yourself in with it or searching alone is how fatalities happen. Ignition isn't the primary danger; asphyxiation is.",Easy,TRUE
Q0330,Type III,Certification,A technician certified as Type III only may legally work on which of the following?,A 500-ton R-123 centrifugal chiller,A rooftop R-410A packaged unit,A window air conditioner,All refrigeration equipment,A,"Type III covers low-pressure appliances — the R-123 chiller qualifies. The rooftop unit needs Type II and the window unit needs Type I. Working on everything requires Universal certification, which is simply passing all three specialty exams plus Core.",Medium,FALSE
